frame_id,drone_lat,drone_lon,altitude,person_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,est_lat,est_lon,conf
71,50.294238,18.673285,15.0,1,820,382,902,468,50.294251,18.673268,0.8523
72,50.294238,18.673285,15.0,1,822,383,902,470,50.294251,18.673268,0.8668
73,50.294238,18.673285,15.0,1,824,390,902,473,50.29425,18.673268,0.8584
74,50.294238,18.673285,15.0,1,820,390,902,475,50.29425,18.673268,0.8645
75,50.294238,18.673285,15.0,1,822,398,902,479,50.29425,18.673268,0.8641
76,50.294238,18.673285,15.0,1,818,398,900,482,50.294249,18.673268,0.8479
77,50.294238,18.673285,15.0,1,818,400,900,486,50.294249,18.673268,0.8546
78,50.294238,18.673285,15.0,1,822,408,900,489,50.294248,18.673268,0.87
79,50.294238,18.673285,15.0,1,822,409,902,491,50.294248,18.673268,0.8907
80,50.294238,18.673285,15.0,1,818,408,898,492,50.294248,18.673267,0.8544
81,50.294238,18.673285,15.0,1,822,418,900,497,50.294247,18.673268,0.8896
82,50.294238,18.673285,15.0,1,816,416,898,499,50.294247,18.673267,0.8519
83,50.294238,18.673285,15.0,1,820,424,898,504,50.294247,18.673268,0.8547
84,50.294238,18.673285,15.0,1,820,428,898,506,50.294246,18.673268,0.8656
85,50.294238,18.673285,15.0,1,818,426,896,508,50.294246,18.673267,0.8479
86,50.294238,18.673285,15.0,1,818,427,896,510,50.294246,18.673267,0.8541
87,50.294238,18.673285,15.0,1,816,429,896,514,50.294246,18.673267,0.849
88,50.294238,18.673285,15.0,1,814,434,894,516,50.294245,18.673267,0.8483
89,50.294238,18.673285,15.0,1,816,444,894,520,50.294245,18.673267,0.8387
90,50.29424,18.673292,15.0,1,816,444,896,524,50.294246,18.673274,0.8646
91,50.29424,18.673292,15.0,1,816,444,896,527,50.294246,18.673274,0.8539
92,50.29424,18.673292,15.0,1,814,446,894,529,50.294246,18.673274,0.8585
93,50.29424,18.673292,15.0,1,814,448,894,533,50.294246,18.673274,0.841
94,50.29424,18.673292,15.0,1,812,455,892,535,50.294245,18.673273,0.8101
95,50.29424,18.673292,15.0,1,814,463,890,538,50.294244,18.673273,0.8362
96,50.29424,18.673292,15.0,1,814,462,892,542,50.294244,18.673274,0.8436
97,50.29424,18.673292,15.0,1,812,462,894,545,50.294244,18.673274,0.8416
98,50.29424,18.673292,15.0,1,812,464,892,547,50.294244,18.673273,0.8345
99,50.29424,18.673292,15.0,1,812,470,892,550,50.294243,18.673273,0.8201
100,50.29424,18.673292,15.0,1,812,473,892,553,50.294243,18.673273,0.7811
101,50.29424,18.673292,15.0,1,812,480,890,556,50.294243,18.673273,0.8562
102,50.29424,18.673292,15.0,1,812,480,892,559,50.294242,18.673273,0.847
103,50.29424,18.673292,15.0,1,812,481,892,563,50.294242,18.673273,0.8537
104,50.29424,18.673292,15.0,1,810,484,890,567,50.294242,18.673273,0.8275
105,50.29424,18.673292,15.0,1,812,490,890,568,50.294241,18.673273,0.7967
106,50.29424,18.673292,15.0,1,810,500,890,571,50.29424,18.673273,0.7964
107,50.29424,18.673292,15.0,1,810,499,890,577,50.29424,18.673273,0.8617
108,50.29424,18.673292,15.0,1,810,498,890,579,50.29424,18.673273,0.8226
109,50.29424,18.673292,15.0,1,810,499,892,581,50.29424,18.673273,0.8336
110,50.29424,18.673292,15.0,1,810,507,890,585,50.294239,18.673273,0.8257
111,50.29424,18.673292,15.0,1,810,511,888,588,50.294239,18.673273,0.7867
112,50.29424,18.673292,15.0,1,808,518,888,590,50.294238,18.673273,0.8329
113,50.29424,18.673292,15.0,1,808,515,890,595,50.294238,18.673273,0.8325
114,50.29424,18.673292,15.0,1,810,518,888,597,50.294238,18.673273,0.8331
115,50.29424,18.673292,15.0,1,808,528,888,599,50.294237,18.673273,0.7916
116,50.29424,18.673292,15.0,1,810,526,888,603,50.294237,18.673273,0.8029
117,50.29424,18.673292,15.0,1,808,531,886,606,50.294237,18.673273,0.7893
118,50.29424,18.673292,15.0,1,808,532,888,612,50.294236,18.673273,0.7922
119,50.29424,18.673292,15.0,1,808,534,888,613,50.294236,18.673273,0.813
120,50.294241,18.673294,15.0,1,808,537,886,616,50.294237,18.673275,0.8185
121,50.294241,18.673294,15.0,1,808,542,888,622,50.294236,18.673275,0.796
122,50.294241,18.673294,15.0,1,808,546,888,623,50.294236,18.673275,0.793
123,50.294241,18.673294,15.0,1,808,559,886,627,50.294235,18.673275,0.7987
124,50.294241,18.673294,15.0,1,810,551,888,631,50.294235,18.673275,0.7972
125,50.294241,18.673294,15.0,1,808,554,888,632,50.294235,18.673275,0.8041
126,50.294241,18.673294,15.0,1,808,558,888,636,50.294235,18.673275,0.8108
127,50.294241,18.673294,15.0,1,808,561,886,639,50.294234,18.673275,0.7952
128,50.294241,18.673294,15.0,1,808,564,888,641,50.294234,18.673275,0.7916
129,50.294241,18.673294,15.0,1,808,567,888,645,50.294233,18.673275,0.7885
130,50.294241,18.673294,15.0,1,808,569,888,649,50.294233,18.673275,0.809
131,50.294241,18.673294,15.0,1,808,571,888,650,50.294233,18.673275,0.8066
132,50.294241,18.673294,15.0,1,808,574,888,655,50.294232,18.673275,0.8027
133,50.294241,18.673294,15.0,1,808,579,888,659,50.294232,18.673275,0.7892
134,50.294241,18.673294,15.0,1,808,583,888,660,50.294232,18.673275,0.7774
135,50.294241,18.673294,15.0,1,808,583,890,664,50.294231,18.673275,0.7857
136,50.294241,18.673294,15.0,1,808,587,890,667,50.294231,18.673275,0.8053
137,50.294241,18.673294,15.0,1,810,590,888,670,50.294231,18.673275,0.8045
138,50.294241,18.673294,15.0,1,808,592,888,672,50.294231,18.673275,0.7881
139,50.294241,18.673294,15.0,1,808,596,888,676,50.29423,18.673275,0.7728
140,50.294241,18.673294,15.0,1,808,599,888,679,50.29423,18.673275,0.7673
141,50.294241,18.673294,15.0,1,808,601,890,680,50.29423,18.673275,0.7887
142,50.294241,18.673294,15.0,1,808,604,890,684,50.294229,18.673275,0.7967
143,50.294241,18.673294,15.0,1,808,606,892,688,50.294229,18.673275,0.8174
144,50.294241,18.673294,15.0,1,808,610,890,690,50.294228,18.673275,0.7936
145,50.294241,18.673294,15.0,1,810,612,892,693,50.294228,18.673275,0.792
146,50.294241,18.673294,15.0,1,810,616,890,697,50.294228,18.673275,0.7744
147,50.294241,18.673294,15.0,1,810,618,892,698,50.294228,18.673275,0.7882
